nombre,apellidos,correo electrónico,contraseña temporal,carrera,ciclo
Diego,Mendoza López,57230375@sima.com,diego123,Ciencias de la Comunicación,1
Elena,Ramos Medina,54825556@sima.com,elena123,Nutrición y Dietética,6
Camila,Paredes Silva,63877519@sima.com,camila123,Nutrición y Dietética,6
María,Cruz Fernández,57319775@sima.com,maría123,Ingeniería de Minas,10
Paula,Flores Rojas,95208603@sima.com,paula123,Nutrición y Dietética,4
Valeria,Quispe Mamani,72246435@sima.com,valeria123,Enfermería,4
Valeria,Ramos Medina,37829137@sima.com,valeria123,Odontología,7
Lucía,Paredes Silva,27268781@sima.com,lucía123,Ingeniería Civil,5
Alonso,Torres Díaz,75013719@sima.com,alonso123,Ingeniería Industrial,1
Jorge,Quispe Mamani,73828369@sima.com,jorge123,Enfermería,5
María,Paredes Silva,14717812@sima.com,maría123,Tecnología Médica - Radiología,3
Jorge,Vargas Soto,63026144@sima.com,jorge123,Ingeniería Civil,7
Camila,García Pérez,94314267@sima.com,camila123,Nutrición y Dietética,1
Paula,Quispe Mamani,69830291@sima.com,paula123,Enfermería,10
Kevin,Castillo Huamán,75573127@sima.com,kevin123,Ingeniería Mecánica,1
Luis,Vargas Soto,65443220@sima.com,luis123,Ingeniería de Minas,6
Diego,Paredes Silva,81516123@sima.com,diego123,Ingeniería de Sistemas e Informática,6
Paula,Castillo Huamán,17453832@sima.com,paula123,Odontología,6
José,Castillo Huamán,26843957@sima.com,josé123,Enfermería,7
Diego,Cruz Fernández,26727057@sima.com,diego123,Tecnología Médica - Radiología,2
Ana,Torres Díaz,58374222@sima.com,ana123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,9
Ricardo,Torres Díaz,20131201@sima.com,ricardo123,Arquitectura,4
Kevin,Cruz Fernández,51379566@sima.com,kevin123,Ingeniería Civil,9
Paula,Castillo Huamán,61024715@sima.com,paula123,Tecnología Médica - Radiología,3
Ricardo,Vargas Soto,19192576@sima.com,ricardo123,Nutrición y Dietética,1
Ana,García Pérez,20116194@sima.com,ana123,Ingeniería Ambiental,1
Luis,Quispe Mamani,21111442@sima.com,luis123,Nutrición y Dietética,1
Alonso,García Pérez,77701108@sima.com,alonso123,Medicina Humana,7
Luis,García Pérez,89892392@sima.com,luis123,Ingeniería Civil,3
Luis,Ramos Medina,30509183@sima.com,luis123,Nutrición y Dietética,6
Sofía,García Pérez,73311751@sima.com,sofía123,Tecnología Médica - Radiología,3
Alonso,Flores Rojas,28902146@sima.com,alonso123,Ingeniería Mecatrónica,1
Ana,Torres Díaz,91931834@sima.com,ana123,Ingeniería Civil,1
Diego,Castillo Huamán,72022248@sima.com,diego123,Ingeniería Ambiental,2
Miguel,Mendoza López,50465266@sima.com,miguel123,Ingeniería de Minas,1
Jorge,Vargas Soto,28674637@sima.com,jorge123,Ingeniería Ambiental,7
Alonso,Quispe Mamani,17450273@sima.com,alonso123,Farmacia y Bioquímica,3
Jorge,Paredes Silva,17265205@sima.com,jorge123,Arquitectura,8
Lucía,Paredes Silva,93304081@sima.com,lucía123,Ingeniería Mecánica,6
José,Flores Rojas,76370684@sima.com,josé123,Enfermería,1
Alonso,Vargas Soto,81387069@sima.com,alonso123,Ingeniería Civil,4
Ana,Torres Díaz,10137879@sima.com,ana123,Odontología,2
Alonso,Ramos Medina,75816215@sima.com,alonso123,Odontología,1
Elena,Castillo Huamán,88544814@sima.com,elena123,Medicina Humana,9
Lucía,García Pérez,95137162@sima.com,lucía123,Derecho,1
Jorge,García Pérez,15802555@sima.com,jorge123,Derecho,7
María,Vargas Soto,53831467@sima.com,maría123,Arquitectura,6
Lucía,García Pérez,99242573@sima.com,lucía123,Ingeniería de Sistemas e Informática,9
Alonso,Flores Rojas,96691424@sima.com,alonso123,Enfermería,6
Alonso,Paredes Silva,81595529@sima.com,alonso123,Ingeniería Industrial,9
Valeria,Vargas Soto,97598682@sima.com,valeria123,Ciencias de la Comunicación,10
Jorge,Paredes Silva,31290113@sima.com,jorge123,Medicina Humana,2
María,Flores Rojas,75034944@sima.com,maría123,Medicina Humana,4
Daniela,Torres Díaz,16736200@sima.com,daniela123,Ingeniería Empresarial,3
Daniela,Torres Díaz,41950655@sima.com,daniela123,Tecnología Médica - Radiología,6
Paula,Flores Rojas,40494986@sima.com,paula123,Enfermería,1
Ana,Paredes Silva,77978924@sima.com,ana123,Tecnología Médica - Radiología,1
Daniela,Flores Rojas,24319190@sima.com,daniela123,Ingeniería Industrial,5
Fernando,Ramos Medina,46274818@sima.com,fernando123,Enfermería,5
Elena,Quispe Mamani,84372717@sima.com,elena123,Odontología,1
Kevin,Flores Rojas,42499472@sima.com,kevin123,Ingeniería Eléctrica,9
Camila,Torres Díaz,92550967@sima.com,camila123,Ingeniería de Minas,10
Carlos,Torres Díaz,85694096@sima.com,carlos123,Ingeniería Industrial,10
Valeria,Castillo Huamán,77927600@sima.com,valeria123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,4
María,Cruz Fernández,81045633@sima.com,maría123,Arquitectura,3
Sofía,Castillo Huamán,76002821@sima.com,sofía123,Ingeniería Civil,1
María,Cruz Fernández,65092420@sima.com,maría123,Derecho,5
Jorge,Castillo Huamán,81828801@sima.com,jorge123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,5
Fernando,Mendoza López,29658862@sima.com,fernando123,Medicina Humana,7
Elena,Vargas Soto,14381650@sima.com,elena123,Ingeniería Industrial,9
Ana,García Pérez,10386375@sima.com,ana123,Farmacia y Bioquímica,2
Kevin,Cruz Fernández,28049048@sima.com,kevin123,Ingeniería de Sistemas e Informática,5
Lucía,García Pérez,13062259@sima.com,lucía123,Ingeniería Eléctrica,1
Paula,Ramos Medina,65593091@sima.com,paula123,Ingeniería de Minas,4
Daniela,Castillo Huamán,26008280@sima.com,daniela123,Ingeniería Empresarial,5
Ricardo,Paredes Silva,52242714@sima.com,ricardo123,Ingeniería Eléctrica,7
Kevin,Vargas Soto,69415176@sima.com,kevin123,Ingeniería de Minas,5
Fernando,Flores Rojas,24230212@sima.com,fernando123,Ingeniería de Sistemas e Informática,9
José,Paredes Silva,59043983@sima.com,josé123,Ingeniería Civil,6
Daniela,García Pérez,52817393@sima.com,daniela123,Ingeniería Mecánica,7
Elena,Mendoza López,48295764@sima.com,elena123,Enfermería,4
Diego,García Pérez,42926197@sima.com,diego123,Ingeniería de Sistemas e Informática,10
María,Quispe Mamani,64586749@sima.com,maría123,Ingeniería Empresarial,1
Jorge,Quispe Mamani,84959496@sima.com,jorge123,Ingeniería Mecánica,9
Kevin,Mendoza López,42977604@sima.com,kevin123,Ciencias de la Comunicación,8
Valeria,Castillo Huamán,15615695@sima.com,valeria123,Tecnología Médica - Terapia Física y Rehabilitación,9
Carlos,Quispe Mamani,20542086@sima.com,carlos123,Ingeniería de Minas,9
Elena,Paredes Silva,41038869@sima.com,elena123,Arquitectura,1
Elena,Quispe Mamani,73352383@sima.com,elena123,Enfermería,4
Camila,Paredes Silva,87416473@sima.com,camila123,Ingeniería Civil,7
Andrea,Ramos Medina,12993714@sima.com,andrea123,Enfermería,9
Elena,Vargas Soto,62936382@sima.com,elena123,Ciencias de la Comunicación,7
Carlos,Ramos Medina,58604129@sima.com,carlos123,Arquitectura,8
Jorge,Mendoza López,94604195@sima.com,jorge123,Ingeniería Mecatrónica,7
Elena,Castillo Huamán,74721904@sima.com,elena123,Ingeniería Industrial,9
Elena,Vargas Soto,61954817@sima.com,elena123,Ingeniería Empresarial,3
Kevin,Ramos Medina,75797229@sima.com,kevin123,Ingeniería de Minas,2
Camila,García Pérez,48385321@sima.com,camila123,Ingeniería Ambiental,9
Ana,Ramos Medina,15035001@sima.com,ana123,Farmacia y Bioquímica,10
Elena,García Pérez,21951230@sima.com,elena123,Tecnología Médica - Terapia Física y Rehabilitación,8
José,Quispe Mamani,45271025@sima.com,josé123,Ingeniería Empresarial,9
Paula,García Pérez,65754733@sima.com,paula123,Enfermería,2
Camila,Paredes Silva,90785533@sima.com,camila123,Arquitectura,10
Sofía,Quispe Mamani,93957564@sima.com,sofía123,Ingeniería Mecatrónica,8
María,Quispe Mamani,90464926@sima.com,maría123,Arquitectura,8
Ana,Castillo Huamán,23956002@sima.com,ana123,Ingeniería Civil,3
Valeria,Quispe Mamani,66245075@sima.com,valeria123,Ingeniería Mecatrónica,2
Valeria,Cruz Fernández,49120264@sima.com,valeria123,Ingeniería Industrial,1
Daniela,Mendoza López,17481362@sima.com,daniela123,Odontología,5
Camila,Castillo Huamán,52700695@sima.com,camila123,Odontología,2
Lucía,Ramos Medina,68742757@sima.com,lucía123,Ingeniería Ambiental,3
Ricardo,Ramos Medina,87426395@sima.com,ricardo123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,4
Elena,Cruz Fernández,62481709@sima.com,elena123,Farmacia y Bioquímica,1
Elena,Paredes Silva,76069474@sima.com,elena123,Ciencias de la Comunicación,10
Valeria,García Pérez,28060763@sima.com,valeria123,Medicina Humana,4
Kevin,Mendoza López,18513792@sima.com,kevin123,Ingeniería Industrial,8
Jorge,Ramos Medina,82753550@sima.com,jorge123,Farmacia y Bioquímica,3
Diego,García Pérez,22293031@sima.com,diego123,Nutrición y Dietética,10
Carlos,Ramos Medina,37260684@sima.com,carlos123,Medicina Humana,7
Daniela,Ramos Medina,17310662@sima.com,daniela123,Tecnología Médica - Radiología,5
Paula,Quispe Mamani,29433149@sima.com,paula123,Arquitectura,1
Fernando,Mendoza López,48908998@sima.com,fernando123,Medicina Humana,7
Ana,García Pérez,93507559@sima.com,ana123,Medicina Humana,1
Andrea,Mendoza López,16276144@sima.com,andrea123,Derecho,10
Ana,Castillo Huamán,36461679@sima.com,ana123,Ingeniería Ambiental,1
Camila,Torres Díaz,54386416@sima.com,camila123,Ingeniería Empresarial,7
Ana,Torres Díaz,72249579@sima.com,ana123,Enfermería,10
José,Ramos Medina,39602594@sima.com,josé123,Ingeniería de Sistemas e Informática,10
María,Torres Díaz,46741658@sima.com,maría123,Ingeniería Civil,8
Lucía,Torres Díaz,16655001@sima.com,lucía123,Arquitectura,8
Carlos,Ramos Medina,53306647@sima.com,carlos123,Ingeniería Ambiental,3
Ricardo,García Pérez,40947523@sima.com,ricardo123,Tecnología Médica - Terapia Física y Rehabilitación,6
José,García Pérez,19194785@sima.com,josé123,Odontología,6
José,Flores Rojas,27689412@sima.com,josé123,Ingeniería de Sistemas e Informática,1
María,Flores Rojas,38256894@sima.com,maría123,Tecnología Médica - Radiología,3
Alonso,Cruz Fernández,48242549@sima.com,alonso123,Ciencias de la Comunicación,4
María,Cruz Fernández,68694929@sima.com,maría123,Derecho,1
Ricardo,Cruz Fernández,50494199@sima.com,ricardo123,Odontología,1
Fernando,Torres Díaz,55430754@sima.com,fernando123,Ingeniería Industrial,3
Jorge,Torres Díaz,86994473@sima.com,jorge123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,3
Jorge,Ramos Medina,46274912@sima.com,jorge123,Ciencias de la Comunicación,4
Miguel,Quispe Mamani,36970030@sima.com,miguel123,Arquitectura,1
Alonso,Castillo Huamán,14909287@sima.com,alonso123,Derecho,5
Camila,Cruz Fernández,46133019@sima.com,camila123,Ingeniería Eléctrica,10
Sofía,García Pérez,68618299@sima.com,sofía123,Derecho,1
Andrea,Vargas Soto,93291701@sima.com,andrea123,Tecnología Médica - Radiología,3
Sofía,Paredes Silva,51567819@sima.com,sofía123,Arquitectura,8
Kevin,Castillo Huamán,50002591@sima.com,kevin123,Ingeniería Industrial,2
Elena,Torres Díaz,63389129@sima.com,elena123,Ingeniería Eléctrica,7
Miguel,Castillo Huamán,56111751@sima.com,miguel123,Odontología,10
Ricardo,Quispe Mamani,41552782@sima.com,ricardo123,Ingeniería Ambiental,7
Sofía,Paredes Silva,85934157@sima.com,sofía123,Ingeniería Mecatrónica,9
Sofía,Castillo Huamán,68291014@sima.com,sofía123,Ingeniería Mecatrónica,10
Miguel,Cruz Fernández,10589950@sima.com,miguel123,Medicina Humana,9
Camila,García Pérez,49050207@sima.com,camila123,Ingeniería Eléctrica,7
Carlos,Mendoza López,37486658@sima.com,carlos123,Nutrición y Dietética,1
Paula,Vargas Soto,41943726@sima.com,paula123,Farmacia y Bioquímica,10
Carlos,Quispe Mamani,91632440@sima.com,carlos123,Ingeniería Industrial,10
Luis,García Pérez,93725127@sima.com,luis123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,7
Ana,Vargas Soto,73815041@sima.com,ana123,Arquitectura,10
Kevin,Paredes Silva,69773159@sima.com,kevin123,Ingeniería Eléctrica,3
Sofía,García Pérez,74652207@sima.com,sofía123,Enfermería,5
Paula,Castillo Huamán,92532430@sima.com,paula123,Ingeniería Mecatrónica,6
Andrea,Torres Díaz,26365366@sima.com,andrea123,Ingeniería Civil,7
Diego,Vargas Soto,46068690@sima.com,diego123,Ingeniería de Sistemas e Informática,6
Alonso,Mendoza López,36464749@sima.com,alonso123,Tecnología Médica - Radiología,2
Daniela,Vargas Soto,13296256@sima.com,daniela123,Ingeniería Industrial,10
Kevin,Ramos Medina,52156991@sima.com,kevin123,Enfermería,2
Ricardo,Mendoza López,72857081@sima.com,ricardo123,Enfermería,7
Daniela,Flores Rojas,92402127@sima.com,daniela123,Ingeniería de Sistemas e Informática,1
Valeria,Vargas Soto,62266406@sima.com,valeria123,Arquitectura,9
Diego,García Pérez,11880417@sima.com,diego123,Medicina Humana,4
Ana,Flores Rojas,98333082@sima.com,ana123,Ingeniería de Minas,4
Ricardo,Cruz Fernández,86924603@sima.com,ricardo123,Farmacia y Bioquímica,9
Miguel,Vargas Soto,64154436@sima.com,miguel123,Nutrición y Dietética,2
Elena,Castillo Huamán,13970652@sima.com,elena123,Ingeniería Ambiental,2
Miguel,Torres Díaz,60316688@sima.com,miguel123,Tecnología Médica - Terapia Física y Rehabilitación,4
Elena,Ramos Medina,13283852@sima.com,elena123,Enfermería,5
Paula,Flores Rojas,43551628@sima.com,paula123,Ciencias de la Comunicación,9
Paula,Torres Díaz,77783301@sima.com,paula123,Ingeniería de Sistemas e Informática,10
Valeria,Quispe Mamani,74635246@sima.com,valeria123,Nutrición y Dietética,9
Ana,Paredes Silva,66295357@sima.com,ana123,Farmacia y Bioquímica,9
Ana,Mendoza López,15727445@sima.com,ana123,Ingeniería de Sistemas e Informática,9
Luis,Mendoza López,85402189@sima.com,luis123,Medicina Humana,5
Ricardo,Cruz Fernández,16746299@sima.com,ricardo123,Odontología,1
Carlos,García Pérez,75243867@sima.com,carlos123,Arquitectura,5
Daniela,García Pérez,63939462@sima.com,daniela123,Arquitectura,5
Andrea,Vargas Soto,12649103@sima.com,andrea123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,4
Paula,Vargas Soto,57182580@sima.com,paula123,Ingeniería de Sistemas e Informática,6
Sofía,García Pérez,65722984@sima.com,sofía123,Ingeniería Civil,8
Fernando,Quispe Mamani,22097159@sima.com,fernando123,Ingeniería Mecatrónica,5
Carlos,Quispe Mamani,92114407@sima.com,carlos123,Arquitectura,10
Camila,García Pérez,33235887@sima.com,camila123,Ingeniería de Sistemas e Informática,8
Sofía,Cruz Fernández,43049677@sima.com,sofía123,Nutrición y Dietética,6
José,Torres Díaz,46990283@sima.com,josé123,Arquitectura,8
Luis,Mendoza López,76717179@sima.com,luis123,Medicina Humana,5
Daniela,Quispe Mamani,29936398@sima.com,daniela123,Medicina Humana,7
Andrea,Torres Díaz,72181823@sima.com,andrea123,Ciencias de la Comunicación,8
Kevin,Flores Rojas,31648285@sima.com,kevin123,Ingeniería Mecatrónica,7
Jorge,Ramos Medina,26544838@sima.com,jorge123,Derecho,1
Jorge,Cruz Fernández,11736735@sima.com,jorge123,Ingeniería de Minas,8
Valeria,Flores Rojas,38761103@sima.com,valeria123,Arquitectura,4
Miguel,García Pérez,53082500@sima.com,miguel123,Enfermería,7
María,Torres Díaz,19341483@sima.com,maría123,Ingeniería Eléctrica,1
Elena,Ramos Medina,61650226@sima.com,elena123,Ingeniería Eléctrica,10
Camila,Ramos Medina,54151876@sima.com,camila123,Ingeniería de Minas,6
Luis,Torres Díaz,18782720@sima.com,luis123,Derecho,8
Jorge,Ramos Medina,55102669@sima.com,jorge123,Medicina Humana,5
Daniela,Flores Rojas,12787573@sima.com,daniela123,Enfermería,10
Miguel,Castillo Huamán,29267291@sima.com,miguel123,Arquitectura,9
Miguel,Quispe Mamani,59701290@sima.com,miguel123,Tecnología Médica - Radiología,10
Fernando,Vargas Soto,72471649@sima.com,fernando123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,10
Diego,Torres Díaz,70742223@sima.com,diego123,Ingeniería Mecatrónica,1
Ana,Vargas Soto,20023446@sima.com,ana123,Ingeniería Eléctrica,5
Elena,Vargas Soto,17404902@sima.com,elena123,Tecnología Médica - Terapia Física y Rehabilitación,7
Daniela,Mendoza López,97433472@sima.com,daniela123,Derecho,5
Camila,Mendoza López,44962931@sima.com,camila123,Arquitectura,6
Elena,Mendoza López,64071507@sima.com,elena123,Ingeniería Mecatrónica,7
Lucía,Flores Rojas,18412935@sima.com,lucía123,Ingeniería Mecánica,3
Camila,Ramos Medina,88772740@sima.com,camila123,Derecho,5
Miguel,Flores Rojas,86250762@sima.com,miguel123,Odontología,3
Sofía,Cruz Fernández,69856934@sima.com,sofía123,Ingeniería Eléctrica,9
Valeria,Quispe Mamani,31793360@sima.com,valeria123,Ingeniería Mecánica,5
Diego,Castillo Huamán,60975311@sima.com,diego123,Ingeniería Mecatrónica,2
Diego,Flores Rojas,47064523@sima.com,diego123,Odontología,5
Diego,Vargas Soto,62023948@sima.com,diego123,Ingeniería Eléctrica,8
Ana,García Pérez,42147548@sima.com,ana123,Farmacia y Bioquímica,9
Daniela,Torres Díaz,63271261@sima.com,daniela123,Tecnología Médica - Radiología,7
Luis,Ramos Medina,97796053@sima.com,luis123,Ingeniería Civil,2
Jorge,Cruz Fernández,35389617@sima.com,jorge123,Ingeniería Ambiental,6
Daniela,Quispe Mamani,58413495@sima.com,daniela123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,10
Luis,Flores Rojas,24967165@sima.com,luis123,Arquitectura,9
Camila,Flores Rojas,23490516@sima.com,camila123,Derecho,5
Alonso,García Pérez,38278024@sima.com,alonso123,Tecnología Médica - Terapia Física y Rehabilitación,1
María,Torres Díaz,55734079@sima.com,maría123,Ingeniería de Sistemas e Informática,8
María,García Pérez,79359588@sima.com,maría123,Odontología,7
Andrea,Cruz Fernández,15666933@sima.com,andrea123,Tecnología Médica - Radiología,5
Camila,García Pérez,63701461@sima.com,camila123,Ingeniería Civil,2
José,Castillo Huamán,92694307@sima.com,josé123,Ingeniería Industrial,2
Ricardo,Ramos Medina,21559467@sima.com,ricardo123,Ingeniería Civil,2
Miguel,Mendoza López,81382704@sima.com,miguel123,Enfermería,6
Luis,García Pérez,61552419@sima.com,luis123,Ingeniería Eléctrica,8
Jorge,Ramos Medina,25162552@sima.com,jorge123,Odontología,5
Camila,Quispe Mamani,84161853@sima.com,camila123,Odontología,2
Camila,Quispe Mamani,38835341@sima.com,camila123,Ingeniería Eléctrica,1
Valeria,Cruz Fernández,79192356@sima.com,valeria123,Ingeniería de Sistemas e Informática,8
Diego,Mendoza López,26110188@sima.com,diego123,Ingeniería Ambiental,2
Fernando,Flores Rojas,34845545@sima.com,fernando123,Ingeniería Mecánica,4
Diego,Mendoza López,43648254@sima.com,diego123,Tecnología Médica - Radiología,6
Elena,García Pérez,72475425@sima.com,elena123,Medicina Humana,3
María,Ramos Medina,40299951@sima.com,maría123,Ingeniería Ambiental,10
Carlos,Flores Rojas,49404778@sima.com,carlos123,Ingeniería Industrial,1
Camila,Ramos Medina,99053970@sima.com,camila123,Ingeniería de Sistemas e Informática,5
Valeria,Vargas Soto,27007094@sima.com,valeria123,Nutrición y Dietética,4
Alonso,Vargas Soto,67077788@sima.com,alonso123,Derecho,2
Jorge,Torres Díaz,22695406@sima.com,jorge123,Ingeniería Civil,9
Diego,Mendoza López,40388733@sima.com,diego123,Arquitectura,8
Andrea,Flores Rojas,82870231@sima.com,andrea123,Arquitectura,10
Elena,Ramos Medina,76805819@sima.com,elena123,Enfermería,8
Miguel,Flores Rojas,10867314@sima.com,miguel123,Derecho,7
Daniela,Torres Díaz,66494388@sima.com,daniela123,Ingeniería Eléctrica,8
Daniela,García Pérez,75140099@sima.com,daniela123,Ingeniería Eléctrica,9
Diego,Torres Díaz,12233529@sima.com,diego123,Enfermería,4
Fernando,Flores Rojas,84710517@sima.com,fernando123,Ingeniería Empresarial,10
Lucía,Cruz Fernández,61935649@sima.com,lucía123,Ingeniería Ambiental,3
Paula,García Pérez,17835265@sima.com,paula123,Ingeniería Mecánica,9
Alonso,Ramos Medina,25519527@sima.com,alonso123,Arquitectura,9
Alonso,Torres Díaz,37965337@sima.com,alonso123,Derecho,8
Camila,Paredes Silva,81809564@sima.com,camila123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,5
Miguel,Castillo Huamán,56355752@sima.com,miguel123,Nutrición y Dietética,7
Paula,Mendoza López,89622252@sima.com,paula123,Enfermería,7
Ricardo,Paredes Silva,37070877@sima.com,ricardo123,Ingeniería de Sistemas e Informática,8
Elena,Paredes Silva,85343730@sima.com,elena123,Farmacia y Bioquímica,7
Carlos,Quispe Mamani,69925822@sima.com,carlos123,Ingeniería Empresarial,8
Paula,García Pérez,11874897@sima.com,paula123,Ciencias de la Comunicación,10
Elena,Cruz Fernández,79138461@sima.com,elena123,Ingeniería Empresarial,6
Andrea,Flores Rojas,83471637@sima.com,andrea123,Derecho,8
Jorge,Mendoza López,98051846@sima.com,jorge123,Ingeniería de Sistemas e Informática,5
José,García Pérez,82418498@sima.com,josé123,Ingeniería Eléctrica,10
Miguel,Mendoza López,84574046@sima.com,miguel123,Medicina Humana,9
Sofía,García Pérez,50671595@sima.com,sofía123,Farmacia y Bioquímica,8
Alonso,Paredes Silva,42199548@sima.com,alonso123,Ingeniería de Minas,6
Miguel,Quispe Mamani,40280520@sima.com,miguel123,Odontología,8
Alonso,Torres Díaz,68568547@sima.com,alonso123,Ingeniería de Sistemas e Informática,10
Valeria,Ramos Medina,13263173@sima.com,valeria123,Odontología,7
Jorge,Mendoza López,13685157@sima.com,jorge123,Ingeniería de Sistemas e Informática,1
Ricardo,Flores Rojas,38302119@sima.com,ricardo123,Farmacia y Bioquímica,2
Ricardo,Vargas Soto,37178002@sima.com,ricardo123,Ingeniería Civil,3
Andrea,Flores Rojas,45718611@sima.com,andrea123,Ingeniería de Sistemas e Informática,6
Camila,García Pérez,29524689@sima.com,camila123,Odontología,4
Ricardo,Cruz Fernández,74483262@sima.com,ricardo123,Ingeniería Mecánica,3
Jorge,García Pérez,25362655@sima.com,jorge123,Medicina Humana,6
Fernando,Cruz Fernández,88379230@sima.com,fernando123,Ingeniería Eléctrica,8
Fernando,Cruz Fernández,67205432@sima.com,fernando123,Ingeniería de Minas,1
Elena,Vargas Soto,70749851@sima.com,elena123,Ingeniería Industrial,2
Elena,Torres Díaz,89172435@sima.com,elena123,Enfermería,7
Paula,Torres Díaz,70842378@sima.com,paula123,Ingeniería Eléctrica,4
Paula,Ramos Medina,64507632@sima.com,paula123,Ingeniería Ambiental,2
Valeria,Mendoza López,97046903@sima.com,valeria123,Ingeniería Civil,3
Carlos,Mendoza López,22430501@sima.com,carlos123,Ingeniería Civil,9
Ana,Castillo Huamán,94521466@sima.com,ana123,Ingeniería Empresarial,2
Miguel,Torres Díaz,87749780@sima.com,miguel123,Medicina Humana,9
Kevin,Paredes Silva,72859869@sima.com,kevin123,Ingeniería Industrial,9
Ricardo,Flores Rojas,79895389@sima.com,ricardo123,Arquitectura,5
Ricardo,Mendoza López,22111520@sima.com,ricardo123,Ingeniería Ambiental,7
Sofía,Paredes Silva,91153355@sima.com,sofía123,Ingeniería Industrial,5
Andrea,García Pérez,98045600@sima.com,andrea123,Enfermería,6
Valeria,Quispe Mamani,63164117@sima.com,valeria123,Ingeniería Industrial,10
Ana,Torres Díaz,13173871@sima.com,ana123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,4
Lucía,Vargas Soto,84828695@sima.com,lucía123,Ingeniería de Minas,5
Luis,Flores Rojas,85290158@sima.com,luis123,Ingeniería Industrial,5
Valeria,Quispe Mamani,39655677@sima.com,valeria123,Ingeniería Industrial,3
Sofía,Vargas Soto,20355612@sima.com,sofía123,Derecho,5
Miguel,Ramos Medina,56583497@sima.com,miguel123,Ingeniería Empresarial,5
Kevin,Vargas Soto,56026428@sima.com,kevin123,Ingeniería de Minas,1
Fernando,Mendoza López,89811127@sima.com,fernando123,Odontología,1
Diego,García Pérez,52139870@sima.com,diego123,Ingeniería Ambiental,4
Andrea,Torres Díaz,47153871@sima.com,andrea123,Ciencias de la Comunicación,8
Miguel,Torres Díaz,52729956@sima.com,miguel123,Ingeniería Empresarial,2
Miguel,Cruz Fernández,60749544@sima.com,miguel123,Ingeniería de Minas,8
Alonso,Paredes Silva,62730119@sima.com,alonso123,Tecnología Médica - Terapia Física y Rehabilitación,7
Elena,García Pérez,82051893@sima.com,elena123,Medicina Humana,6
Alonso,Quispe Mamani,70036977@sima.com,alonso123,Ingeniería Ambiental,2
Lucía,Cruz Fernández,49282640@sima.com,lucía123,Ingeniería Ambiental,9
Jorge,Vargas Soto,57890329@sima.com,jorge123,Ingeniería de Minas,2
Miguel,Flores Rojas,97163183@sima.com,miguel123,Ingeniería Civil,8
Andrea,Torres Díaz,21873718@sima.com,andrea123,Ingeniería de Minas,1
Diego,Vargas Soto,34789637@sima.com,diego123,Farmacia y Bioquímica,7
Ricardo,Torres Díaz,16496105@sima.com,ricardo123,Farmacia y Bioquímica,6
Luis,Cruz Fernández,45838241@sima.com,luis123,Ciencias de la Comunicación,1
Miguel,Quispe Mamani,30021891@sima.com,miguel123,Ingeniería Mecatrónica,10
José,Castillo Huamán,84085485@sima.com,josé123,Ingeniería Ambiental,4
Alonso,García Pérez,29722556@sima.com,alonso123,Enfermería,3
Ricardo,Torres Díaz,30706093@sima.com,ricardo123,Tecnología Médica - Terapia Física y Rehabilitación,2
Daniela,Mendoza López,98796381@sima.com,daniela123,Ingeniería Empresarial,10
Elena,Paredes Silva,30833844@sima.com,elena123,Farmacia y Bioquímica,10
Lucía,Paredes Silva,54745285@sima.com,lucía123,Tecnología Médica - Radiología,9
Ricardo,García Pérez,16971195@sima.com,ricardo123,Derecho,3
Camila,Vargas Soto,51849069@sima.com,camila123,Ingeniería Mecatrónica,8
Sofía,Quispe Mamani,81917845@sima.com,sofía123,Ingeniería Industrial,8
Valeria,Castillo Huamán,54158033@sima.com,valeria123,Ingeniería Mecatrónica,8
Alonso,Castillo Huamán,20195771@sima.com,alonso123,Odontología,3
Elena,Castillo Huamán,56441197@sima.com,elena123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,9
María,Torres Díaz,60513019@sima.com,maría123,Ciencias de la Comunicación,1
Camila,García Pérez,72750999@sima.com,camila123,Ingeniería Industrial,5
Carlos,Ramos Medina,50335032@sima.com,carlos123,Ingeniería de Minas,8
Daniela,Mendoza López,22562996@sima.com,daniela123,Medicina Humana,7
Daniela,Castillo Huamán,62670366@sima.com,daniela123,Ingeniería Ambiental,6
Diego,Quispe Mamani,26675651@sima.com,diego123,Ciencias de la Comunicación,5
Elena,Mendoza López,45505713@sima.com,elena123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,8
Elena,Quispe Mamani,49253591@sima.com,elena123,Farmacia y Bioquímica,6
Elena,Ramos Medina,26451261@sima.com,elena123,Ingeniería Ambiental,1
Sofía,Castillo Huamán,44734059@sima.com,sofía123,Ingeniería de Minas,4
Andrea,Castillo Huamán,23145659@sima.com,andrea123,Ingeniería Civil,7
